Symbol,Company Name,Industry,Prior Close,5 Day Chg_x by %,4 Week Chg_x by %,52 Week Chg by %,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks by %,Vs. S&P 500 13 Weeks by %,Vs. S&P 500 52 Weeks by %,P/E Ratio (TTM)* by x,Price/Sales Ratio by x,Price/Book Ratio by x,Price/Cash Flow by x,Debt to Capital by x,Return on Equity by %,Return on Assets by %,EPS Growth CFY* by %,EPS Growth NFY* by %,Revenue Growth CFY* by %,Revenue Growth NFY* by %,Dividend Yield by %,Dividend Growth 5 Year by %
ATEN,A10 Networks Inc,Software & IT Services,16.4,-2.23,-1.00,22.00,1,0,0,-1,0,0,0.5,1,-1.57,-15.16,2.12,25.78,4.62,6.28,19.92,52.64,24.36,9.97,0.00,15.12,7.26,7.66,1.40,0.00
AIR,AAR Corp,Aerospace & Defense,53.49,-3.33,-8.00,-23.00,0,0,-1,0.5,0,0,1,1,7.17,-1.85,-24.01,--,0.81,1.83,48.86,46.37,-1.08,-0.51,12.91,19.15,17.27,5.11,0.00,0.00
ABM,ABM Industries Inc,Professional & Commercial Services  ,48.51,-1.82,2.00,10.00,0,0,0,1,0,0,0,1,-0.21,1.38,-2.15,40.50,0.38,1.80,17.19,46.41,4.46,1.58,5.60,9.02,2.04,2.57,2.06,4.59
ASO,Academy Sports and Outdoors Inc,Other Specialty Retailers,38.06,-7.72,-17.00,-37.00,0,0,0,0.5,0,0,0.5,1,3.58,-14.66,-27.29,7.30,0.47,1.43,5.21,19.51,21.14,8.74,0.00,0.00,0.00,0.00,1.24,0.00
ACAD,ACADIA Pharmaceuticals Inc,Biotechnology & Medical Research,14.66,22.44,-14.00,-12.00,0,0,0,1,0,0,0.5,1,36.43,11.22,23.75,15.71,3.62,4.71,14.89,0.00,37.24,23.03,14.58,58.18,11.19,10.64,0.00,0.00
AKR,Acadia Realty Trust,Residential & Commercial REITs,19.79,-5.47,-7.00,13.00,0,0,1,0.5,0,0,1,0,-8.99,-13.38,2.68,114.78,6.68,1.08,16.96,37.28,0.92,0.07,55.00,29.03,-2.16,20.53,4.21,-7.95
AAMI,Acadian Asset Management Inc,Investment Banking & Investment Services,26.91,-3.44,4.00,19.00,1,0,1,0,0,0,0,1,2.56,18.98,20.13,12.23,2.03,49.75,9.33,80.20,"242,432.40",15.53,0.00,0.00,0.00,0.00,0.14,-36.90
ACIW,ACI Worldwide Inc,Financial Technology (Fintech) & Infrastructure,52.78,-4.72,-3.00,57.00,0,0,1,-0.5,0,0,1,1,-16.15,-5.88,17.03,18.32,2.91,3.30,12.69,36.33,19.69,8.30,11.52,33.80,6.98,6.95,0.00,0.00
GOLF,Acushnet Holdings Corp,Leisure Products,63.56,-2.10,-8.00,0.00,1,0,0,1,0,0,0,1,2.83,8.85,0.45,19.16,1.65,5.26,14.87,54.63,27.15,9.09,4.15,-2.28,1.91,1.75,1.36,8.96
AHCO,Adapthealth Corp,Healthcare Equipment & Supplies,8.16,-1.11,-21.00,-16.00,0,0,0,-1,0,-1,1,1,4.52,6.75,-16.45,15.47,0.37,0.77,2.57,55.96,5.19,2.01,0.00,0.00,0.00,0.00,0.00,0.00
ADUS,Addus Homecare Corporation,Healthcare Providers & Services,101.03,1.48,3.00,6.00,1,0,1,1,0,1,1,1,5.19,4.21,-8.12,25.20,1.69,2.06,22.07,16.64,9.18,6.52,15.78,10.34,20.72,5.81,0.00,0.00
ADEA,Adeia Inc,Software & IT Services,12.37,-5.45,-6.00,23.00,0,0,1,-1,0,-1,1,0,-0.61,-20.48,0.68,19.49,3.71,3.62,10.13,54.11,20.43,6.97,0.00,0.00,0.00,0.00,1.54,-24.21
